region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
BG,2_Lindt,SVM,Push / Pull,Reach,3.416,0.3117,0.322,0.3318,0.3268,0.3506,0.3527,0.3364,0.3286,0.3447,0.2678
BG,2_Lindt,SVM,Dominant,Init,3.4734,0.2869,0.2922,0.2934,0.3086,0.3476,0.378,0.3984,0.3794,0.3672,0.2795
BG,2_Lindt,SVM,Dominant,Reach,3.6201,0.3164,0.3372,0.3755,0.4011,0.4306,0.3895,0.3426,0.3128,0.3118,0.2481
BG,2_Lindt,SVM,Center,Init,3.3128,0.2755,0.2834,0.2902,0.2974,0.3354,0.3668,0.3805,0.3569,0.3329,0.2567
BG,2_Lindt,SVM,Center,Reach,3.3018,0.3043,0.3183,0.342,0.3519,0.3695,0.3364,0.3114,0.2882,0.301,0.241
BG,2_Lindt,SVM,Non-dominant,Init,3.359,0.2863,0.2899,0.2907,0.2939,0.3365,0.3717,0.3816,0.3592,0.347,0.2625
BG,2_Lindt,SVM,Non-dominant,Reach,3.4991,0.309,0.3384,0.3649,0.3792,0.3948,0.3763,0.3327,0.3074,0.3071,0.2405
BG,2_Lindt,LDA,Push / Pull,Init,3.2061,0.2604,0.2629,0.2605,0.2658,0.3071,0.3254,0.3698,0.3732,0.3702,0.2794
BG,2_Lindt,LDA,Push / Pull,Reach,3.0657,0.2839,0.2916,0.2956,0.2948,0.3123,0.3097,0.2988,0.2989,0.3106,0.243
BG,2_Lindt,LDA,Dominant,Init,3.0295,0.2655,0.2714,0.2694,0.2772,0.2948,0.3164,0.3357,0.3238,0.3111,0.2396
BG,2_Lindt,LDA,Dominant,Reach,3.2222,0.2857,0.3048,0.3252,0.3502,0.3781,0.3396,0.3053,0.2825,0.2869,0.2277
BG,2_Lindt,LDA,Center,Init,2.915,0.2595,0.262,0.2633,0.2694,0.2917,0.3073,0.3162,0.3028,0.2924,0.2299
BG,2_Lindt,LDA,Center,Reach,3.0692,0.2876,0.2956,0.3097,0.316,0.3253,0.3096,0.2939,0.2786,0.2915,0.2338
BG,2_Lindt,LDA,Non-dominant,Init,2.9957,0.2649,0.2682,0.2667,0.2698,0.2935,0.3188,0.3264,0.3169,0.3098,0.2373
BG,2_Lindt,LDA,Non-dominant,Reach,3.1466,0.283,0.3055,0.3235,0.3326,0.3485,0.3338,0.2979,0.2788,0.2854,0.2256
BG,2_Lindt,Naive Bayes,Push / Pull,Init,3.2151,0.2598,0.2566,0.2591,0.269,0.3031,0.3163,0.3631,0.3675,0.3899,0.3003
BG,2_Lindt,Naive Bayes,Push / Pull,Reach,2.9583,0.2795,0.2929,0.2875,0.2815,0.2955,0.3031,0.2898,0.2806,0.2921,0.2344
BG,2_Lindt,Naive Bayes,Dominant,Init,3.2951,0.2735,0.2682,0.2828,0.294,0.315,0.3439,0.3819,0.3727,0.3571,0.2706
BG,2_Lindt,Naive Bayes,Dominant,Reach,3.3208,0.2947,0.3288,0.3506,0.3763,0.3897,0.3448,0.3064,0.2765,0.284,0.2288
BG,2_Lindt,Naive Bayes,Center,Init,3.0079,0.26,0.26,0.2682,0.2772,0.29,0.3143,0.3414,0.327,0.3096,0.236
BG,2_Lindt,Naive Bayes,Center,Reach,2.8985,0.2743,0.2898,0.3006,0.3082,0.3241,0.2785,0.2686,0.2561,0.2642,0.2145
BG,2_Lindt,Naive Bayes,Non-dominant,Init,3.1554,0.2735,0.2753,0.281,0.2919,0.3074,0.3303,0.3452,0.3417,0.3296,0.2479
BG,2_Lindt,Naive Bayes,Non-dominant,Reach,3.2205,0.3009,0.3195,0.3406,0.3492,0.3589,0.3201,0.2965,0.2784,0.2889,0.2331
BG,2_Lindt,Kalman,Push / Pull,Init,3.3261,0.2742,0.2718,0.2715,0.2744,0.3109,0.3197,0.3783,0.375,0.4007,0.3139
BG,2_Lindt,Kalman,Push / Pull,Reach,3.2987,0.306,0.3196,0.3215,0.3113,0.329,0.3317,0.3253,0.3223,0.3325,0.2625
BG,2_Lindt,Kalman,Dominant,Init,3.3556,0.2823,0.2824,0.2896,0.3009,0.3289,0.3519,0.381,0.3614,0.3604,0.2794
BG,2_Lindt,Kalman,Dominant,Reach,3.3897,0.3034,0.3292,0.3485,0.3569,0.3801,0.3517,0.3281,0.302,0.3049,0.2423
BG,2_Lindt,Kalman,Center,Init,3.1855,0.2827,0.283,0.2892,0.2961,0.3171,0.3281,0.3433,0.3289,0.3283,0.2578
BG,2_Lindt,Kalman,Center,Reach,3.0636,0.2867,0.2984,0.3133,0.3114,0.3206,0.3078,0.295,0.2776,0.2908,0.2336
