region,animal,decoder,contrast,alignment,n_sessions,mean_peak_BAC,sem_peak_BAC,W_stat,p_value,above_chance
BG,2_Lindt,Kalman,Push / Pull,Reach,7,0.8249,0.0193,28.0,0.0078,True
BG,2_Lindt,Kalman,Dominant,Init,7,0.8841,0.0276,28.0,0.0078,True
BG,2_Lindt,Kalman,Dominant,Reach,7,0.9264,0.0132,28.0,0.0078,True
BG,2_Lindt,Kalman,Center,Init,7,0.8156,0.0134,28.0,0.0078,True
BG,2_Lindt,Kalman,Center,Reach,6,0.8033,0.0271,21.0,0.0156,True
BG,2_Lindt,Kalman,Non-dominant,Init,7,0.8208,0.0228,28.0,0.0078,True
BG,2_Lindt,Kalman,Non-dominant,Reach,7,0.8893,0.0206,28.0,0.0078,True
BG,4_Milka,SVM,Push / Pull,Init,5,0.7087,0.1588,10.0,0.3125,False
BG,4_Milka,SVM,Push / Pull,Reach,5,0.6168,0.138,10.0,0.3125,False
BG,4_Milka,SVM,Dominant,Init,5,0.8037,0.0543,15.0,0.0312,True
BG,4_Milka,SVM,Dominant,Reach,5,0.6707,0.1544,10.0,0.3125,False
BG,4_Milka,SVM,Center,Init,5,0.7571,0.0175,15.0,0.0312,True
BG,4_Milka,SVM,Center,Reach,5,0.6067,0.1383,10.0,0.3125,False
BG,4_Milka,SVM,Non-dominant,Init,5,0.7456,0.0326,15.0,0.0312,True
BG,4_Milka,SVM,Non-dominant,Reach,5,0.6027,0.1406,10.0,0.3125,False
BG,4_Milka,LDA,Push / Pull,Init,5,0.893,0.0263,15.0,0.0312,True
BG,4_Milka,LDA,Push / Pull,Reach,5,0.7312,0.0613,15.0,0.0312,True
BG,4_Milka,LDA,Dominant,Init,5,0.7777,0.0357,15.0,0.0312,True
BG,4_Milka,LDA,Dominant,Reach,5,0.7817,0.0609,15.0,0.0312,True
BG,4_Milka,LDA,Center,Init,5,0.7176,0.0192,15.0,0.0312,True
BG,4_Milka,LDA,Center,Reach,5,0.6483,0.0362,10.0,0.0339,True
BG,4_Milka,LDA,Non-dominant,Init,5,0.7347,0.0197,15.0,0.0312,True
BG,4_Milka,LDA,Non-dominant,Reach,5,0.6522,0.0392,10.0,0.0339,True
BG,4_Milka,Naive Bayes,Push / Pull,Init,5,0.8991,0.0237,15.0,0.0312,True
BG,4_Milka,Naive Bayes,Push / Pull,Reach,5,0.7752,0.052,15.0,0.0312,True
BG,4_Milka,Naive Bayes,Dominant,Init,5,0.7748,0.0398,15.0,0.0312,True
BG,4_Milka,Naive Bayes,Dominant,Reach,5,0.8456,0.043,15.0,0.0312,True
BG,4_Milka,Naive Bayes,Center,Init,5,0.6909,0.0114,15.0,0.0312,True
BG,4_Milka,Naive Bayes,Center,Reach,5,0.6689,0.0474,10.0,0.0339,True
BG,4_Milka,Naive Bayes,Non-dominant,Init,5,0.7404,0.0205,15.0,0.0312,True
BG,4_Milka,Naive Bayes,Non-dominant,Reach,5,0.6875,0.0509,10.0,0.0339,True
BG,4_Milka,Kalman,Push / Pull,Init,4,0.8581,0.0122,10.0,0.0625,False
BG,4_Milka,Kalman,Push / Pull,Reach,4,0.7353,0.0333,10.0,0.0625,False
BG,4_Milka,Kalman,Dominant,Init,4,0.8432,0.022,10.0,0.0625,False
BG,4_Milka,Kalman,Dominant,Reach,4,0.8194,0.0251,10.0,0.0625,False
BG,4_Milka,Kalman,Center,Init,5,0.7342,0.0113,15.0,0.0312,True
BG,4_Milka,Kalman,Center,Reach,4,0.7142,0.0219,10.0,0.0625,False
BG,4_Milka,Kalman,Non-dominant,Init,4,0.7615,0.013,10.0,0.0625,False
BG,4_Milka,Kalman,Non-dominant,Reach,3,0.7177,0.023,6.0,0.125,False
BG,5_FerreroRocher,SVM,Push / Pull,Init,4,0.9138,0.009,10.0,0.0625,False
BG,5_FerreroRocher,SVM,Push / Pull,Reach,4,0.8198,0.041,10.0,0.0625,False
BG,5_FerreroRocher,SVM,Dominant,Init,4,0.9481,0.0137,10.0,0.0625,False
BG,5_FerreroRocher,SVM,Dominant,Reach,4,0.9973,0.002,10.0,0.0625,False
BG,5_FerreroRocher,SVM,Center,Init,4,0.8669,0.0441,10.0,0.0625,False
BG,5_FerreroRocher,SVM,Center,Reach,4,0.9017,0.0353,10.0,0.0625,False
BG,5_FerreroRocher,SVM,Non-dominant,Init,4,0.9105,0.0249,10.0,0.0625,False
BG,5_FerreroRocher,SVM,Non-dominant,Reach,4,0.9306,0.0275,10.0,0.0625,False
BG,5_FerreroRocher,LDA,Push / Pull,Init,4,0.8521,0.0365,10.0,0.0625,False
BG,5_FerreroRocher,LDA,Push / Pull,Reach,4,0.7947,0.0313,10.0,0.0625,False
BG,5_FerreroRocher,LDA,Dominant,Init,4,0.9023,0.0197,10.0,0.0625,False
BG,5_FerreroRocher,LDA,Dominant,Reach,4,0.9624,0.0208,10.0,0.0625,False
BG,5_FerreroRocher,LDA,Center,Init,4,0.8006,0.0296,10.0,0.0625,False
BG,5_FerreroRocher,LDA,Center,Reach,4,0.8614,0.0288,10.0,0.0625,False
BG,5_FerreroRocher,LDA,Non-dominant,Init,4,0.8212,0.0094,10.0,0.0625,False
BG,5_FerreroRocher,LDA,Non-dominant,Reach,4,0.8796,0.0208,10.0,0.0625,False
BG,5_FerreroRocher,Naive Bayes,Push / Pull,Init,4,0.8767,0.0152,10.0,0.0625,False
BG,5_FerreroRocher,Naive Bayes,Push / Pull,Reach,4,0.7937,0.0492,10.0,0.0625,False
BG,5_FerreroRocher,Naive Bayes,Dominant,Init,4,0.9474,0.0166,10.0,0.0625,False
BG,5_FerreroRocher,Naive Bayes,Dominant,Reach,4,0.9757,0.0119,10.0,0.0625,False
BG,5_FerreroRocher,Naive Bayes,Center,Init,4,0.7958,0.0341,10.0,0.0625,False
BG,5_FerreroRocher,Naive Bayes,Center,Reach,4,0.7878,0.0273,10.0,0.0625,False
BG,5_FerreroRocher,Naive Bayes,Non-dominant,Init,4,0.8552,0.0167,10.0,0.0625,False
BG,5_FerreroRocher,Naive Bayes,Non-dominant,Reach,4,0.8898,0.0202,10.0,0.0625,False
BG,5_FerreroRocher,Kalman,Push / Pull,Init,4,0.9004,0.0175,10.0,0.0625,False
BG,5_FerreroRocher,Kalman,Push / Pull,Reach,3,0.8225,0.0468,6.0,0.125,False
BG,5_FerreroRocher,Kalman,Dominant,Init,4,0.9335,0.0138,10.0,0.0625,False
BG,5_FerreroRocher,Kalman,Dominant,Reach,4,0.9909,0.0053,10.0,0.0625,False
BG,5_FerreroRocher,Kalman,Center,Init,4,0.8043,0.0375,10.0,0.0625,False
BG,5_FerreroRocher,Kalman,Center,Reach,4,0.8703,0.0339,10.0,0.0625,False
BG,5_FerreroRocher,Kalman,Non-dominant,Init,4,0.8506,0.0059,10.0,0.0625,False
BG,5_FerreroRocher,Kalman,Non-dominant,Reach,4,0.8773,0.0128,10.0,0.0625,False
CB,1_CoteDor,SVM,Push / Pull,Init,5,0.8977,0.0231,15.0,0.0312,True
CB,1_CoteDor,SVM,Push / Pull,Reach,5,0.9011,0.0166,15.0,0.0312,True
CB,1_CoteDor,SVM,Dominant,Init,5,0.8447,0.0193,15.0,0.0312,True
CB,1_CoteDor,SVM,Dominant,Reach,5,0.9395,0.0175,15.0,0.0312,True
CB,1_CoteDor,SVM,Center,Init,5,0.7637,0.02,15.0,0.0312,True
CB,1_CoteDor,SVM,Center,Reach,5,0.8098,0.0312,15.0,0.0312,True
CB,1_CoteDor,SVM,Non-dominant,Init,5,0.7972,0.0162,15.0,0.0312,True
CB,1_CoteDor,SVM,Non-dominant,Reach,5,0.9066,0.0263,15.0,0.0312,True
CB,1_CoteDor,LDA,Push / Pull,Init,5,0.8751,0.0183,15.0,0.0312,True
CB,1_CoteDor,LDA,Push / Pull,Reach,5,0.81,0.0257,15.0,0.0312,True
CB,1_CoteDor,LDA,Dominant,Init,5,0.7887,0.0288,15.0,0.0312,True
CB,1_CoteDor,LDA,Dominant,Reach,5,0.8548,0.0283,15.0,0.0312,True
CB,1_CoteDor,LDA,Center,Init,5,0.7117,0.0183,15.0,0.0312,True
CB,1_CoteDor,LDA,Center,Reach,5,0.7638,0.0378,15.0,0.0312,True
CB,1_CoteDor,LDA,Non-dominant,Init,5,0.7509,0.026,15.0,0.0312,True
CB,1_CoteDor,LDA,Non-dominant,Reach,5,0.8142,0.0271,15.0,0.0312,True
CB,1_CoteDor,Naive Bayes,Push / Pull,Init,5,0.8766,0.0196,15.0,0.0312,True
CB,1_CoteDor,Naive Bayes,Push / Pull,Reach,5,0.8478,0.0172,15.0,0.0312,True
CB,1_CoteDor,Naive Bayes,Dominant,Init,5,0.7973,0.0177,15.0,0.0312,True
CB,1_CoteDor,Naive Bayes,Dominant,Reach,5,0.8757,0.0354,15.0,0.0312,True
CB,1_CoteDor,Naive Bayes,Center,Init,5,0.7203,0.0078,15.0,0.0312,True
CB,1_CoteDor,Naive Bayes,Center,Reach,5,0.7777,0.0259,15.0,0.0312,True
CB,1_CoteDor,Naive Bayes,Non-dominant,Init,5,0.754,0.0174,15.0,0.0312,True
CB,1_CoteDor,Naive Bayes,Non-dominant,Reach,5,0.8501,0.0301,15.0,0.0312,True
CB,1_CoteDor,Kalman,Push / Pull,Init,5,0.8797,0.0243,15.0,0.0312,True
CB,1_CoteDor,Kalman,Push / Pull,Reach,5,0.8792,0.0176,15.0,0.0312,True
CB,1_CoteDor,Kalman,Dominant,Init,5,0.8232,0.019,15.0,0.0312,True
CB,1_CoteDor,Kalman,Dominant,Reach,5,0.9121,0.0241,15.0,0.0312,True
CB,1_CoteDor,Kalman,Center,Init,5,0.7587,0.0164,15.0,0.0312,True
CB,1_CoteDor,Kalman,Center,Reach,5,0.7963,0.0311,15.0,0.0312,True
CB,1_CoteDor,Kalman,Non-dominant,Init,5,0.7811,0.0222,15.0,0.0312,True
